data generated from N([1,1,1,1],I), N(-1,-1,1,1,],I)
30 4 2
(30F8.4,I2)
  3.9080  1.0335  1.5201  1.3075  1
  1.8252 -0.3337  0.9800 -0.2571  1
  2.3790  2.1275  0.9652  0.1345  1
 -0.0582  1.3502  0.2018  0.8235  1
  0.5314  0.7009  2.0187  1.7914  1
  0.7275  1.0229  0.8668 -0.3320  1
  2.0984  0.7380  0.2855 -1.3299  1
  0.7221 -0.7502  2.3514 -0.4491  1
  1.7015  0.7143  0.7752  1.3335  1
 -1.0518  0.1686  0.4110  1.3914  1
  0.6462  0.0208  0.7062  1.4517  1
  0.1764 -0.1564  0.1521  0.8697  1
 -0.5771  0.4664 -0.1201  1.1837  1
  1.5080 -1.0026  3.5260  0.5238  1
  1.2820  1.9642  2.6555  1.8620  1
 -2.3617 -1.5320  1.8261  0.5554  2
 -0.5450  0.6821  2.5270  0.8441  2
 -1.8487 -1.8757  1.4669  1.2761  2
 -1.3349 -1.4838  0.7903  0.7388  2
 -0.4472 -1.7120  1.6252  1.4434  2
  0.0391 -2.1742  1.1832  1.3919  2
 -2.1176 -1.1922 -0.0298 -0.2507  2
  0.2607 -1.2741  1.9492  0.0520  2
 -0.3399  0.5301  1.3071  0.2589  2
 -1.0679 -1.2490  1.1352  0.4922  2
 -1.1952 -2.0642  1.5152  0.6794  2
 -1.2176  0.6035  1.2614  1.0125  2
 -1.3031  0.2347  0.0585 -2.0292  2
 -0.9770 -1.2296  0.8377  0.5430  2
 -0.9487 -2.5062  0.8539  2.2424  2
